SDSS_NAME,RA,DEC,CLASS,SUBCLASS,logR1,logR_ratio,BAL_PROB
132250.69+473937.1,200.7112459,47.66025748,core,u,1.589163634845033,,-1.0
113933.90+275738.7,174.8917065,27.96077273,jet,,2.558955116100731,,0.0
122331.84+403512.1,185.88332869999996,40.58651401,core,r,2.878519354967122,,0.0
083132.31+020134.3,127.8845415,2.026219373,core,r,1.2897696383081168,,-1.0
101415.61+514017.8,153.56490530000002,51.67146707,core,r,2.2060292369839205,,0.0
114254.78+051645.9,175.7283774,5.279258542,core,u,2.0784097763641056,,0.9
132447.13+330242.4,201.1964216,33.04484453,double,l,1.8317511825291248,-0.786316748065349,0.0
130527.85+363526.3,196.3660298,36.59076114,core,u,2.9422346410807734,,0.0
082721.96+030054.7,126.841517,3.015158408,core,u,0.9411667841395968,,0.95
093720.71+155331.9,144.3363772,15.89217168,core,u,1.2628768099668406,,0.9
135847.22+461405.1,209.69704280000002,46.2350463,core,r,2.1045235633563615,,-1.0
125639.85+304055.6,194.1660396,30.68216256,core,u,1.8628400854267295,,0.0
165543.56+194847.1,253.9315472,19.8131391,core,u,2.963528149617366,,0.0
153150.46+242317.7,232.9603119,24.38822862,core,u,0.7986123471337734,,0.9
004900.84-054400.7,12.25354976,-5.733580527999999,core,r,4.068964678400704,,0.9
140621.89+222346.5,211.5913274,22.39625859,core,r,-0.05113225066407239,,-1.0
